Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate),Region_East Asia & Pacific,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,IncomeGroup_High income: OECD,IncomeGroup_High income: nonOECD,IncomeGroup_Low income,IncomeGroup_Lower middle income,IncomeGroup_Upper middle income
6,1.176,1.448,0.781,0.546,0.108,0.064,2018,,,,586000000000.0,15424.0,77.5417,3.8,,124.036,3.673,False,True,False,False,False,False,False,True,False,False,False,False
5,1.188,1.429,0.884,0.562,0.055,0.017,2018,,,,238000000000.0,23145.7,74.661,3.1,,112.239,6.86,False,True,False,False,False,False,False,True,False,False,False,False
6,1.649,1.303,0.748,0.654,0.256,0.171,2018,,,,192000000000.0,69026.5,99.6528,5.8,,239.593,0.142,False,False,False,True,False,False,False,False,True,False,False,False
6,1.116,1.219,0.726,0.528,0.088,0.001,2018,,,,240000000000.0,12301.2,70.6813,6.1,,84.6398,4.295,False,True,False,False,False,False,False,False,False,False,False,True
3,0.332,0.896,0.4,0.636,0.2,0.444,2018,,,,9509000000.0,772.968,,27.0,,498.66,0.971,False,False,False,False,False,False,True,False,False,True,False,False
6,1.379,1.331,0.633,0.509,0.098,0.127,2018,,,,782000000000.0,23219.1,93.31,6.0,,15.6767,5.919,False,False,False,True,False,False,False,False,True,False,False,False
5,0.429,1.117,0.433,0.406,0.138,0.082,2018,,,,24129600000.0,1521.95,,31.8,,82.3475,6.464,False,False,False,False,False,False,True,False,False,False,True,False
5,0.975,1.369,0.685,0.288,0.134,0.043,2018,,,,50508400000.0,7234.0,73.3607,4.8,,79.8317,13.51,False,True,False,False,False,False,False,False,False,False,False,True
5,0.256,0.813,0.0,0.355,0.238,0.053,2018,,,,3999950000.0,522.858,,78.5,,105.987,4.313,False,False,False,False,False,False,True,False,False,True,False,False
6,1.529,1.451,1.008,0.631,0.261,0.457,2018,,,,364000000000.0,64581.9,88.1656,2.3,,7953.0,3.768,True,False,False,False,False,False,False,False,True,False,False,False
6,1.219,1.506,0.856,0.633,0.16,0.051,2018,,,,54235500000.0,26234.0,79.75,1.7,,102.64,5.51,False,True,False,False,False,False,False,True,False,False,False,False
5,0.0,0.712,0.115,0.674,0.238,0.282,2018,,,,4721000000.0,314.562,,76.6,,23.9235,13.956,False,False,False,False,False,False,True,False,False,True,False,False
5,0.94,1.41,0.33,0.516,0.103,0.056,2018,,,,368000000000.0,6374.02,,28.5,,47.6301,26.958,False,False,False,False,False,False,True,False,False,False,False,True
3,0.337,0.608,0.177,0.112,0.224,0.106,2018,,,,,,,63.7,,,12.696,False,False,False,False,False,False,True,False,False,True,False,False
6,1.251,1.538,0.965,0.449,0.142,0.074,2018,,,,1430000000000.0,30523.9,86.1072,2.5,,93.5291,15.487,False,True,False,False,False,False,False,True,False,False,False,False
4,0.918,1.314,0.672,0.585,0.307,0.05,2018,,,,88900800000.0,4102.48,,6.4,,345.559,4.399,False,False,False,False,False,True,False,False,False,False,True,False
4,0.605,1.24,0.312,0.016,0.134,0.082,2018,,,0.0,40851500000.0,977.274,,42.1,,,12.876,False,False,False,False,False,False,True,False,False,False,True,False
7,1.355,1.501,0.913,0.659,0.285,0.383,2018,,,,551000000000.0,54112.0,92.1417,2.2,,25.001,6.444,False,True,False,False,False,False,False,True,False,False,False,False
7,1.42,1.549,0.927,0.66,0.256,0.357,2018,,,,706000000000.0,82838.9,,3.7,,215.521,4.883,False,True,False,False,False,False,False,True,False,False,False,False
5,0.474,1.166,0.598,0.292,0.187,0.034,2018,,,,7522950000.0,826.622,,30.4,,65.5727,10.922,False,True,False,False,False,False,False,False,False,False,True,False
3,0.455,0.991,0.381,0.481,0.27,0.097,2018,,,,57437100000.0,1050.68,,37.6,,63.5791,1.932,False,False,False,False,False,False,True,False,False,True,False,False
6,1.016,1.417,0.707,0.637,0.364,0.029,2018,,,,505000000000.0,7273.56,56.8175,7.8,,135.897,0.665,True,False,False,False,False,False,False,False,False,False,False,True
4,0.259,0.474,0.253,0.434,0.158,0.101,2018,,,,5300210000.0,671.841,,47.4,,145.047,1.668,False,False,False,False,False,False,True,False,False,True,False,False
5,0.9,0.906,0.69,0.271,0.04,0.063,2018,,,,39860700000.0,3446.61,64.1908,14.6,,74.4413,15.478,False,False,False,True,False,False,False,False,False,False,False,True
5,1.148,1.38,0.686,0.324,0.106,0.109,2018,,,,767000000000.0,9311.37,71.0428,9.1,,106.96,10.895,False,True,False,False,False,False,False,False,False,False,False,True
6,1.016,1.533,0.517,0.417,0.199,0.037,2018,,,,40761100000.0,6966.64,,39.3,,12.4506,3.783,False,True,False,False,False,False,False,False,False,False,False,True
4,0.322,1.09,0.237,0.45,0.259,0.061,2018,,,,27476900000.0,643.14,,33.8,,213.062,1.742,False,False,False,False,False,False,True,False,False,True,False,False
4,0.793,1.413,0.609,0.163,0.187,0.011,2018,,,,131000000000.0,3095.17,,7.5,,77.0297,9.381,False,True,False,False,False,False,False,False,False,False,True,False
7,2.096,0.776,0.67,0.284,0.186,,2018,,,,414000000000.0,43004.9,98.45,6.5,,135.609,2.575,False,False,False,True,False,False,False,False,True,False,False,False
7,1.244,1.433,0.888,0.464,0.262,0.082,2018,,,,2830000000000.0,42491.4,94.8967,3.6,,274.827,3.954,False,True,False,False,False,False,False,True,False,False,False,False
7,1.398,1.471,0.819,0.547,0.291,0.133,2018,,,,20500000000000.0,62641.0,,5.6,,35.7661,3.933,False,False,False,False,True,False,False,True,False,False,False,False
6,1.093,1.459,0.771,0.625,0.13,0.155,2018,,,,59596900000.0,17278.0,,6.4,,19.708,7.961,False,False,True,False,False,False,False,False,True,False,False,False
6,0.719,1.584,0.605,0.724,0.328,0.259,2018,,,,50499900000.0,1532.37,,19.1,,77.4692,5.223,False,True,False,False,False,False,False,False,False,False,True,False
5,0.715,1.365,0.702,0.618,0.177,0.079,2018,,,,245000000000.0,2563.82,70.3496,16.5,,308.125,1.891,True,False,False,False,False,False,False,False,False,False,True,False
4,0.562,1.047,0.295,0.503,0.221,0.082,2018,,,,26720100000.0,1539.9,14.3,40.4,,23.3415,7.209,False,False,False,False,False,False,True,False,False,False,True,False
4,0.357,1.094,0.248,0.406,0.132,0.099,2018,,,,31000500000.0,2147.0,,33.9,,37.3246,4.915,False,False,False,False,False,False,True,False,False,True,False,False
