Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate),Region_East Asia & Pacific,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,IncomeGroup_High income: OECD,IncomeGroup_High income: nonOECD,IncomeGroup_Low income,IncomeGroup_Lower middle income,IncomeGroup_Upper middle income
2018,,,,48319600000.0,7235.03,,10.2,,3.79563,17.287,False,False,False,True,False,False,False,False,False,False,False,True
2018,,,,53251400000.0,19089.7,79.7226,3.3,,44.5314,6.007,False,True,False,False,False,False,False,False,True,False,False,False
2018,,,,69487900000.0,114340.0,97.0613,1.9,,250.094,5.47,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,12100500000.0,460.753,,38.2,,45.1399,1.659,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,7064970000.0,389.398,,35.3,,192.441,5.43,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,354000000000.0,11239.0,81.2017,6.7,,95.9628,3.36,True,False,False,False,False,False,False,False,False,False,False,True
2018,,,,17196700000.0,901.403,,62.0,,15.635,9.569,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,14542000000.0,30074.7,81.4031,6.1,,1511.03,4.583,False,False,False,True,False,False,False,False,True,False,False,False
2018,,,,5365870000.0,1218.6,,51.5,,4.27216,10.305,False,False,False,False,False,False,True,False,False,False,True,False
2018,,,,14220300000.0,11238.7,58.5962,13.6,,623.302,6.867,False,False,False,False,False,False,True,False,False,False,False,True
2018,,,,1220000000000.0,9698.08,65.7726,11.0,,64.9146,3.322,False,False,True,False,False,False,False,False,False,False,False,True
2018,,,,11309100000.0,3189.36,,13.6,,123.52,3.411,False,True,False,False,False,False,False,False,False,False,True,False
2018,,,,13009600000.0,4103.7,,14.0,,2.04061,6.32,True,False,False,False,False,False,False,False,False,False,False,True
2018,,,,5452170000.0,8760.69,71.5173,2.3,,46.271,15.462,False,True,False,False,False,False,False,False,False,False,False,True
2018,,,,118000000000.0,3237.88,64.8039,19.2,,80.7285,9.04,False,False,False,True,False,False,False,False,False,False,True,False
2018,,,,14458000000.0,490.168,,54.0,,37.5085,3.172,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,71214800000.0,1325.95,,36.8,,82.2386,1.564,True,False,False,False,False,False,False,False,False,False,True,False
2018,,,,14521700000.0,5931.45,,29.0,,2.97375,23.095,False,False,False,False,False,False,True,False,False,False,False,True
2018,,,,28812500000.0,1025.8,,26.7,,195.939,1.264,False,False,False,False,False,True,False,False,False,True,False,False
2018,,,,914000000000.0,53024.1,94.7121,3.3,,511.458,3.88,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,205000000000.0,41966.0,,4.7,,18.5542,4.522,True,False,False,False,False,False,False,True,False,False,False,False
2018,,,,13117900000.0,2028.9,,15.7,,53.727,4.479,False,False,True,False,False,False,False,False,False,False,True,False
2018,,,,9239510000.0,411.689,5.25049,48.0,,17.7177,0.273,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,397000000000.0,2028.18,,75.7,,215.065,6.026,False,False,False,False,False,False,True,False,False,False,True,False
2018,,,,435000000000.0,81807.2,96.4917,2.1,,14.5549,3.919,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,313000000000.0,1472.89,,57.2,,275.289,3.038,False,False,False,False,False,True,False,False,False,False,True,False
2018,,,,65055100000.0,15575.1,,13.1,,56.1861,3.922,False,False,True,False,False,False,False,False,False,False,False,True
2018,,,,40842300000.0,5871.47,64.9935,17.2,,17.5084,4.712,False,False,True,False,False,False,False,False,False,False,False,True
2018,,,,222000000000.0,6947.26,52.5403,11.1,,24.9916,2.844,False,False,True,False,False,False,False,False,False,False,False,True
2018,,,,331000000000.0,3102.71,,22.5,,357.688,2.515,True,False,False,False,False,False,False,False,False,False,True,False
2018,,,,586000000000.0,15424.0,77.5417,3.8,,124.036,3.673,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,238000000000.0,23145.7,74.661,3.1,,112.239,6.86,False,True,False,False,False,False,False,True,False,False,False,False
2018,,,,192000000000.0,69026.5,99.6528,5.8,,239.593,0.142,False,False,False,True,False,False,False,False,True,False,False,False
2018,,,,240000000000.0,12301.2,70.6813,6.1,,84.6398,4.295,False,True,False,False,False,False,False,False,False,False,False,True
2018,,,,9509000000.0,772.968,,27.0,,498.66,0.971,False,False,False,False,False,False,True,False,False,True,False,False
2018,,,,782000000000.0,23219.1,93.31,6.0,,15.6767,5.919,False,False,False,True,False,False,False,False,True,False,False,False
2018,,,,24129600000.0,1521.95,,31.8,,82.3475,6.464,False,False,False,False,False,False,True,False,False,False,True,False
2018,,,,50508400000.0,7234.0,73.3607,4.8,,79.8317,13.51,False,True,False,False,False,False,False,False,False,False,False,True
2018,,,,3999950000.0,522.858,,78.5,,105.987,4.313,False,False,False,False,False,False,True,False,False,True,False,False
